metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5416520597311066,52,0,0
rmse,0,0.511599365804668,51,0,1
rmse,0,0.5570016149777468,51,0,2
rmse,0,0.4402385282359061,51,0,3
rmse,0,0.6898298685373955,51,0,4
rmse,0,0.5402233289078122,52,1,0
rmse,0,0.5076726103372502,51,1,1
rmse,0,0.5164377266241297,51,1,2
rmse,0,0.5181613196544186,51,1,3
rmse,0,0.6301866938314754,51,1,4
rmse,0,0.5378484138661298,52,2,0
rmse,0,0.5246694617021708,51,2,1
rmse,0,0.5178923021246987,51,2,2
rmse,0,0.6255535199805208,51,2,3
rmse,0,0.5254506586215222,51,2,4
rmse,0,0.6370094011489158,52,3,0
rmse,0,0.6092066747355508,51,3,1
rmse,0,0.4857887423260508,51,3,2
rmse,0,0.526426694536028,51,3,3
rmse,0,0.4829201729466893,51,3,4
rmse,0,0.5704368401713535,52,4,0
rmse,0,0.6147933863956713,51,4,1
rmse,0,0.5249215868026049,51,4,2
rmse,0,0.4845121569398298,51,4,3
rmse,0,0.5120159638036845,51,4,4
