metric,no_targets_columns,value,n_samples,seed,split
rmse,0,11.320257557083625,64,0,0
rmse,0,11.171117242040776,64,0,1
rmse,0,9.188130382628104,64,0,2
rmse,0,10.390457683906504,63,0,3
rmse,0,10.253902019680632,63,0,4
rmse,0,9.243710345857926,64,1,0
rmse,0,11.90151067671628,64,1,1
rmse,0,10.983069384866056,64,1,2
rmse,0,11.7955067957246,63,1,3
rmse,0,9.480037543082847,63,1,4
rmse,0,8.572261136042846,64,2,0
rmse,0,12.405265603951323,64,2,1
rmse,0,9.429970255763811,64,2,2
rmse,0,10.663482000168509,63,2,3
rmse,0,10.968271369398346,63,2,4
rmse,0,9.961194790073876,64,3,0
rmse,0,9.382331036806269,64,3,1
rmse,0,10.962660747727886,64,3,2
rmse,0,11.006000459222145,63,3,3
rmse,0,10.730189907795245,63,3,4
rmse,0,11.222639511809511,64,4,0
rmse,0,9.105091242074478,64,4,1
rmse,0,11.256674890738037,64,4,2
rmse,0,10.215181549552847,63,4,3
rmse,0,10.107654634957461,63,4,4
