metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.901264369162131,64,0,0
rmse,0,13.967023610676371,64,0,1
rmse,0,9.468127523111695,64,0,2
rmse,0,10.96192802068701,63,0,3
rmse,0,10.472362864324037,63,0,4
rmse,0,10.540938124938217,64,1,0
rmse,0,12.519074763147463,64,1,1
rmse,0,13.121977709250734,64,1,2
rmse,0,16.626538652792014,63,1,3
rmse,0,10.68338625127953,63,1,4
rmse,0,19.64862689173094,64,2,0
rmse,0,11.514479610888367,64,2,1
rmse,0,10.070750589064048,64,2,2
rmse,0,10.157767767178433,63,2,3
rmse,0,18.682687635464266,63,2,4
rmse,0,11.775888491914877,64,3,0
rmse,0,15.207578424299136,64,3,1
rmse,0,11.233885122577473,64,3,2
rmse,0,11.316130916821333,63,3,3
rmse,0,13.032857498941912,63,3,4
rmse,0,12.506897475850298,64,4,0
rmse,0,16.83854593405276,64,4,1
rmse,0,10.4958834433152,64,4,2
rmse,0,8.918097593098157,63,4,3
rmse,0,12.092484148609351,63,4,4
