metric,no_targets_columns,value,n_samples,seed,split
rmse,0,13.127704181469817,64,0,0
rmse,0,13.42449698271052,64,0,1
rmse,0,10.872589008677503,64,0,2
rmse,0,13.419488135243123,63,0,3
rmse,0,11.383010474198576,63,0,4
rmse,0,11.619017564422812,64,1,0
rmse,0,13.033662952582304,64,1,1
rmse,0,12.776314046490446,64,1,2
rmse,0,13.38098785291197,63,1,3
rmse,0,12.54280805306133,63,1,4
rmse,0,13.341749018159835,64,2,0
rmse,0,14.874895063682876,64,2,1
rmse,0,9.672905711446388,64,2,2
rmse,0,10.883331894319083,63,2,3
rmse,0,15.090171734892053,63,2,4
rmse,0,12.347897077673085,64,3,0
rmse,0,11.85351525756539,64,3,1
rmse,0,13.880482884152618,64,3,2
rmse,0,10.609025833444216,63,3,3
rmse,0,11.855102141540305,63,3,4
rmse,0,13.995504516034652,64,4,0
rmse,0,11.263461559027313,64,4,1
rmse,0,13.403168840530943,64,4,2
rmse,0,11.077492368988299,63,4,3
rmse,0,13.105099021883387,63,4,4
