paper,target,model,fp kernel,count kernel,mixing method,lengthscale_kendalls_w,feature_importance_MDI_kendalls_w,feature_importance_SHAP_kendalls_w,rmse_avg,rmse_stdev,rmse_seed_fold_scores,r2_avg,r2_stdev,r2_seed_fold_scores,mae_avg,mae_stdev,mae_seed_fold_scores,cvpp_ama_avg,cvpp_ama_stdev,cvpp_ama_seed_fold_scores,nll_avg,nll_stdev,nll_seed_fold_scores,ece_avg,ece_stdev,ece_seed_fold_scores,Cv_avg,Cv_stdev,Cv_seed_fold_scores,RUSC_avg,RUSC_stdev,RUSC_seed_fold_scores,OOF_R2,OOF_ece,OOF_cvpp_ama,OOF_cdf_ama,OOF_RUSC,OOF_nll,OOF_Cv,OOF_sharpness,Running time (GPU),Running time (CPU)
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),RF,,,,,0.8536009488629629,0.8839302560961423,0.20405244543017645,0.049460718982131016,"[0.1408477143753201, 0.21571136715257114, 0.20904812795584096, 0.19166704860151484, 0.3008683869908667, 0.1590041045091304, 0.2641114450437776, 0.13298205428650756, 0.26442059141684143, 0.1705633807679733, 0.14541216397693685, 0.2125201104140081, 0.25497941729536855, 0.22588750794887055, 0.17276326071711817]",0.8778646160333214,0.055119181034536995,"[0.9382524420154333, 0.8895842890247807, 0.8574301293353526, 0.8948582656534801, 0.7753576270775917, 0.9244799950574034, 0.825476649109742, 0.9460866042356428, 0.8206577314218205, 0.9173443945312973, 0.9524937472711386, 0.8687533884215681, 0.7808430095211141, 0.8670516625747327, 0.9092993052487246]",0.12167982333772638,0.02797540834869639,"[0.09251297099185878, 0.15357873806476788, 0.09840297174784064, 0.10257716156244781, 0.16902181607793676, 0.10285117927408319, 0.12661449398501246, 0.08922997211823121, 0.1756409439293743, 0.10269721526150269, 0.10123936190877342, 0.14278046291410249, 0.1457227099678606, 0.12452081107509487, 0.0978065411870089]",0.10974794704206471,0.04179943518445806,"[0.1135897435897436, 0.0450326797385621, 0.14712418300653596, 0.153921568627451, 0.1143137254901961, 0.05730769230769231, 0.1707843137254902, 0.07483660130718954, 0.06372549019607843, 0.1594117647058823, 0.15858974358974356, 0.1266013071895425, 0.09640522875816995, 0.11392156862745098, 0.050653594771241844]",-0.2523006935610103,0.4108517442412404,"[0.5822419319240464, -0.44354092234066744, 0.20005095172677748, -0.6099310522691971, -0.3758591338544338, -0.15659411545220972, -0.3512123946055323, -0.50037156418184, 0.5707176026543709, -0.7419311128641903, -0.7285291807567504, -0.4779148585654237, 0.05841871752005739, -0.5328801622621667, -0.27717511008799506]",0.06008597285067873,0.02011211761556292,"[0.05961538461538461, 0.025686274509803913, 0.07549019607843137, 0.06568627450980392, 0.07941176470588233, 0.031923076923076936, 0.08333333333333334, 0.03980392156862746, 0.05588235294117646, 0.0892156862745098, 0.08269230769230769, 0.06411764705882353, 0.05705882352941177, 0.06411764705882353, 0.02725490196078433]",0.8472012991662606,0.06963852089638055,"[0.9699548948130595, 0.8265677773208319, 0.880205949779573, 0.8616640997118693, 0.8587812956346633, 0.9006847161344415, 0.7726793558569585, 0.8849319544872356, 0.7272964757569638, 0.8289114090401078, 0.7741087587940123, 0.7774851646158425, 0.8821268633367298, 0.7877227480952015, 0.9748980241164178]",0.6649227857048027,0.1000173717981421,"[0.5484194575537941, 0.778016609254366, 0.5015160475237597, 0.6959355737747485, 0.7803145202104796, 0.7784134687846596, 0.557310286103869, 0.6339951512304085, 0.6648261085389142, 0.6954219591327125, 0.7916569036209058, 0.7602325967238613, 0.5401063503283695, 0.5455368289240464, 0.702139923867145]",0.8789027303254238,0.05143229166666667,0.10272569444444443,0.048058594968180185,0.6695751337301212,-0.25170952075319275,0.8458636171247436,0.22129511364613288,,10.471
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),XGBR,,,,,0.7258209957546139,0.7244512552603595,0.19209725300131805,0.0710024742060056,"[0.1424280164503185, 0.1729920491757393, 0.2984943884730828, 0.22732164569000937, 0.19901911009456796, 0.09285364998840484, 0.25177335207676, 0.08192478269194226, 0.3519981423793139, 0.1600289689570784, 0.18449729623189767, 0.12621579138748745, 0.2390302641365734, 0.19815408324109116, 0.15472725404550391]",0.8828776635477646,0.08666895229515428,"[0.9368590617412275, 0.9289871248100744, 0.7093250996811508, 0.8521021677049381, 0.901705747912355, 0.9742460825453466, 0.8414016647701031, 0.9795383237929902, 0.6821861220168528, 0.9272391214162183, 0.9235232696787083, 0.95370698959136, 0.8074024039184785, 0.8976931921127882, 0.9272485815238762]",0.10078540226734498,0.028917278126153818,"[0.0858447633853636, 0.10954154694690606, 0.12921570942241914, 0.10953991294539411, 0.09552493850395186, 0.06065825734526527, 0.11376838175992521, 0.061191418114963925, 0.17689962368962817, 0.09301243619093562, 0.090180694202804, 0.07851021205402463, 0.1251689368219118, 0.11072217439668978, 0.0720020282299916]",,,,,,,,,,,,,,,,0.8847845325257682,,,,,,,,,8.24
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),NGB,,,,,0.6862929712676197,0.694280601058042,0.19838137635961547,0.03387032545005438,"[0.15722467150959732, 0.19103842312851943, 0.1765413526476818, 0.2370998301224461, 0.23396174304574788, 0.14039875404478752, 0.23760420538127602, 0.15571933734512308, 0.2433059982954528, 0.19152590043308382, 0.2309350387578487, 0.16001560324182396, 0.22686919731112376, 0.20321423425683185, 0.19026635587288765]",0.8881725431859,0.033659151891308664,"[0.9230583366008863, 0.9133983313794235, 0.8983217437251604, 0.8391049394949603, 0.8641598166564171, 0.9411194515597265, 0.8587503611229053, 0.92607425572071, 0.848155961383788, 0.895778877639151, 0.8801800972411131, 0.9255931874770363, 0.8265013306538292, 0.8924013722950368, 0.8899900848383557]",0.1350338526505546,0.020180571603578834,"[0.11389475884962635, 0.13829913212132908, 0.11510823785011827, 0.14109113357282133, 0.15749406562581914, 0.09857065165959394, 0.1624418536551034, 0.10796404018783864, 0.1665370330492873, 0.1431946961128489, 0.14597133942856105, 0.11990996699133981, 0.15244856391264153, 0.14026028640497964, 0.12232203033641037]",0.08252522205463385,0.04356979436051834,"[0.046410256410256444, 0.08660130718954254, 0.033006535947712426, 0.06568627450980395, 0.11339869281045756, 0.01897435897435898, 0.11078431372549026, 0.05980392156862749, 0.18137254901960786, 0.11797385620915035, 0.029487179487179518, 0.10098039215686277, 0.14084967320261443, 0.06686274509803926, 0.06568627450980397]",-0.15268001433601627,0.3865787565338759,"[-0.43617999938575475, -0.2813445799162953, -0.06538132030621058, -0.16959587917414176, 0.13169430988777608, -0.8568264332401583, 0.46557172718873074, -0.42746121092721573, 0.5143396317326447, 0.042058548514221326, -0.5541365327913458, -0.3777658620760208, 0.42241504518302025, -0.3541450570325696, -0.34344260269692484]",0.055945198592257425,0.024475612097173822,"[0.0326923076923077, 0.04137254901960784, 0.022549019607843123, 0.05549019607843138, 0.09509803921568627, 0.06923076923076923, 0.051960784313725486, 0.03901960784313726, 0.10058823529411764, 0.05901960784313727, 0.020000000000000007, 0.0488235294117647, 0.07509803921568628, 0.08921568627450979, 0.03901960784313725]",0.5619956371574554,0.09287760999916068,"[0.394100871343021, 0.5429860320646953, 0.5139667964333969, 0.728764093260865, 0.6653374302849467, 0.6008425606748795, 0.602402472694618, 0.4968649740243901, 0.5436218467114704, 0.4912803060666739, 0.7054444430331813, 0.422309971563178, 0.6225577422419174, 0.509321788166673, 0.590133228797923]",0.5349001046372062,0.12184436228633748,"[0.5052416084199177, 0.5592994164554912, 0.4943993223304569, 0.6757855219221791, 0.6341275847204701, 0.4820769202948811, 0.6356660716630296, 0.3787029690649721, 0.4567057668249312, 0.24085643440511048, 0.6990433506798709, 0.493840782300562, 0.47638873480575994, 0.6866995583040542, 0.6046675273664057]",0.8886085792037639,0.03794270833333334,0.0795572916666667,0.04200980267927548,0.5424635883082751,-0.15448874209956945,0.5822464659576441,0.11430503604079834,,15.519
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern32,sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern32,product,0.9187567987567987,,,0.20715541504636154,0.04585769762861624,"[0.16105901411765824, 0.2503617718994948, 0.1989096613643395, 0.17570390564578395, 0.2419647515664587, 0.1814006195218383, 0.23055255831635127, 0.12682605020421356, 0.20405835719597848, 0.3223184500199545, 0.16342070777532788, 0.18580201705724372, 0.19182514817139942, 0.23923511759737978, 0.2338930952420012]",0.8750514338440176,0.05612314888738222,"[0.9192597199027754, 0.8512623746054454, 0.8709235697074769, 0.9116425738323372, 0.8547076422959474, 0.90170693648029, 0.8670099982949739, 0.9509625874888907, 0.8931927123300247, 0.704830790592206, 0.9399983112246489, 0.8996796859752285, 0.8759615975710949, 0.8508757256256776, 0.8337572817332448]",0.10995624577572298,0.016104875621288137,"[0.08493566116919263, 0.14019859871544302, 0.10255157147172735, 0.09859609269676686, 0.12778246545486613, 0.10110007803496839, 0.11685027591949239, 0.08345400977401304, 0.12606230784262215, 0.1257248271996947, 0.09706585416182367, 0.10404089944665619, 0.12303048120296478, 0.11727661692436564, 0.10067394662124754]",0.1564256745433216,0.0379776554239969,"[0.15525641025641024, 0.07418300653594768, 0.21013071895424834, 0.18333333333333332, 0.14137254901960783, 0.17025641025641025, 0.1642483660130719, 0.17352941176470588, 0.10294117647058822, 0.19183006535947708, 0.12217948717948718, 0.20098039215686272, 0.1137908496732026, 0.19313725490196074, 0.14921568627450982]",-0.40035160107755235,0.33127789785487477,"[-0.549368654138298, -0.10380000937086742, -0.7158413766732592, -0.5556222560539691, -0.05653701383593892, -0.5141986156434887, -0.3828689785997551, -0.7518950506997408, 0.5507882435079788, -0.40919669194894875, -0.564989186468397, -0.6450380908311875, -0.11098455901614133, -0.5539829093084995, -0.641738867082773]",0.08347410759175464,0.018089807725188384,"[0.07692307692307693, 0.03784313725490195, 0.09705882352941175, 0.09313725490196079, 0.09313725490196077, 0.09615384615384617, 0.09117647058823529, 0.09313725490196077, 0.05352941176470587, 0.09313725490196077, 0.06923076923076923, 0.10098039215686275, 0.07235294117647059, 0.10490196078431373, 0.07941176470588235]",0.7578372518221538,0.04964663205003151,"[0.7360740303993225, 0.8156411051750183, 0.7578698396682739, 0.7910667657852173, 0.7735832929611206, 0.742264986038208, 0.7306126952171326, 0.773472011089325, 0.8446653485298157, 0.7056223750114441, 0.7523958683013916, 0.6726332902908325, 0.7432791590690613, 0.6844106316566467, 0.8439673781394958]",0.4177964728529384,0.11527295632193912,"[0.1270837335671865, 0.3962622747167572, 0.3713542279677084, 0.4679204493361622, 0.6350492177761214, 0.3472376448895149, 0.48643634483818177, 0.5039160387607277, 0.3649694594468163, 0.36831863355384314, 0.4342925518032886, 0.5995293910839689, 0.3741147212538442, 0.3510645527014117, 0.4393978510985429]",0.8762769861735444,0.0765625,0.15348958333333335,0.07658917066301013,0.38654283156364905,-0.4009082400394888,0.7592480834532042,0.19087453742395155,615.019,
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern32,averageProduct,0.9300699300699301,,,0.19282607407665198,0.05282089380800461,"[0.13512400325702115, 0.2100304443954606, 0.204360609048421, 0.16440988823918082, 0.2255522454637214, 0.15807318106183993, 0.2568281616822359, 0.09675934992863298, 0.303876716026082, 0.2095206948936905, 0.16489271145410456, 0.1410011979353127, 0.21051943395320535, 0.2555114864987403, 0.15593098731213012]",0.89043922142133,0.05396471039156451,"[0.9431690146772767, 0.8953234710427317, 0.8637521785655278, 0.9226365027424361, 0.8737495680655808, 0.9253617023642292, 0.8349694349859769, 0.9714572051773945, 0.7631425969657928, 0.8752746958135696, 0.9389125187451975, 0.9422258401088864, 0.850607268978998, 0.8298941147325951, 0.9261122083537592]",0.11627841979215929,0.02666333579355692,"[0.10276681404670292, 0.13136139114546067, 0.10509909151603847, 0.09664356057450982, 0.1259963552137331, 0.10695940481001366, 0.13134948504231247, 0.0645073987566082, 0.18139432419762136, 0.1378304555088486, 0.11373410560919021, 0.08871299183700156, 0.13158483487709755, 0.1346774908900469, 0.09155859285720377]",0.11444042232277526,0.0510982307809716,"[0.07012820512820513, 0.05366013071895424, 0.18267973856209144, 0.16816993464052288, 0.09026143790849674, 0.10166666666666667, 0.12437908496732025, 0.20032679738562092, 0.09117647058823532, 0.04999999999999997, 0.05461538461538462, 0.18464052287581698, 0.06071895424836601, 0.15, 0.1341830065359477]",-0.3699228249596309,0.412040887080165,"[-0.6081242787977732, -0.472940030147977, -0.6032111243058559, -0.5088634133941543, 0.11128307076329037, -0.4464876040340893, -0.4271423020301219, -0.7278971268852644, 0.9794891066132607, -0.4951566199859086, -0.48306189328895854, -0.6281493964990743, -0.1564073662688844, -0.45030240404062694, -0.6318709920923268]",0.06386173956762192,0.02123344516651563,"[0.041923076923076924, 0.03666666666666667, 0.09117647058823529, 0.08333333333333334, 0.0707843137254902, 0.05192307692307694, 0.05980392156862745, 0.09705882352941174, 0.035882352941176476, 0.05980392156862745, 0.05192307692307692, 0.09117647058823528, 0.03156862745098038, 0.07941176470588236, 0.07549019607843137]",0.850848913192749,0.13303783291764135,"[0.5593481659889221, 0.9203481078147888, 0.8342660069465637, 0.9311392307281494, 1.1030844449996948, 0.8360437154769897, 0.8129991888999939, 0.686188817024231, 1.0630067586898804, 0.8769916892051697, 0.7192992568016052, 0.7743592858314514, 0.9175402522087097, 0.9023149609565735, 0.825803816318512]",0.30535342823641376,0.11695213406719915,"[0.4232567075306194, 0.3860808185318456, 0.287362825687905, 0.2750803206581211, 0.347090235831918, 0.37251302737747666, 0.19330316742081446, 0.009054076488590357, 0.33179473391390124, 0.5107490513215925, 0.36192469147035755, 0.24906104374112495, 0.21607312570201154, 0.40762947805288946, 0.20932811981703844]",0.8901607315382387,0.048046875,0.10285590277777776,0.06241203382424611,0.24027702181813373,-0.3704799875184948,0.8710973738019108,0.1891797272595189,2404.293,
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern32,(count:+)x(fp:x),0.9402020202020202,,,0.19609835460219047,0.052699999594574304,"[0.13539596809628301, 0.21077970691722442, 0.20694963486579443, 0.20675418761309192, 0.2242851712871733, 0.1571150628093029, 0.25329435649221194, 0.09896605807764412, 0.3114127705555549, 0.20915927174668986, 0.16633123349798723, 0.14440922020951322, 0.20624172392201465, 0.25624632644589723, 0.15413462649647391]",0.8869350886713777,0.05458260739531069,"[0.9429400163700273, 0.8945752928801417, 0.8602780883082931, 0.8776542592171518, 0.8751640460067109, 0.9262637603661072, 0.8394796391260609, 0.970140457024985, 0.751248933628561, 0.8757046269158436, 0.9378420165884971, 0.9393992666244655, 0.8566168425661025, 0.8289142734768729, 0.9278048109708418]",0.11761219230443874,0.026352482536160873,"[0.10291156163405361, 0.13172795971082932, 0.10669529455337522, 0.11033019185953456, 0.12623815824561774, 0.10696505412256907, 0.13101476940602502, 0.0647737333463981, 0.18345110751847832, 0.13741882583202975, 0.11443153955770706, 0.0902870822696167, 0.1311357597248958, 0.13539785084601655, 0.09140399593943428]",0.11226328138092843,0.049617301296247314,"[0.0714102564102564, 0.051045751633986926, 0.18006535947712413, 0.15313725490196078, 0.09091503267973856, 0.0991025641025641, 0.1250326797385621, 0.20098039215686275, 0.09052287581699349, 0.059803921568627426, 0.04807692307692309, 0.17810457516339867, 0.05549019607843136, 0.14803921568627448, 0.1322222222222222]",-0.36431307347769126,0.4092429365991947,"[-0.6056694713050007, -0.4669535154551227, -0.5967601187242267, -0.44995937414998577, 0.11222878632066224, -0.4438259922390993, -0.42530448529954057, -0.7224319713397838, 0.9746680711837368, -0.49657764807180427, -0.4804470728171432, -0.6293481557137054, -0.1575600525478262, -0.4403483143877562, -0.6364067876187726]",0.062293614881850166,0.020429459915305166,"[0.04153846153846153, 0.03862745098039215, 0.08529411764705883, 0.0715686274509804, 0.07274509803921568, 0.05192307692307692, 0.061764705882352944, 0.09901960784313725, 0.03392156862745099, 0.06019607843137255, 0.05192307692307694, 0.0872549019607843, 0.027647058823529396, 0.07549019607843137, 0.07549019607843137]",0.8648435513178507,0.13246513163367904,"[0.5699270367622375, 0.9324190616607666, 0.8569337129592896, 0.9339029788970947, 1.1089221239089966, 0.8559105396270752, 0.8236631155014038, 0.7014128565788269, 1.0801690816879272, 0.894682765007019, 0.727268397808075, 0.7946382164955139, 0.9356656670570374, 0.912243127822876, 0.8448945879936218]",0.3102134383783798,0.11274857816801138,"[0.4211649698938065, 0.37336531102980053, 0.29472588705133984, 0.3080021838928957, 0.3320512243772483, 0.3975322404483307, 0.2068825087069923, 0.01620679691457674, 0.32201856447967486, 0.5119920375752699, 0.3643583009328809, 0.2761725915360551, 0.19788225731830297, 0.390605910169584, 0.2402407913489384]",0.8867056724548523,0.04752604166666666,0.10124999999999999,0.05141033709895982,0.24605644501273216,-0.3648820805107477,0.885914267925675,0.19104579872024866,783.884,
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern32,(count:+)x(fp:+),0.8743123543123543,,,0.1925063600210312,0.05260925587234802,"[0.1358962022428016, 0.19438079981256434, 0.20647642308842248, 0.16446573680174784, 0.22414152671782964, 0.157214331386251, 0.2547633121419839, 0.09941849506294277, 0.31083364747541903, 0.2097866909374725, 0.16572440091661583, 0.14453292803109494, 0.20576981329218622, 0.2551500277898277, 0.15904106461830805]",0.8907224624853469,0.05503185423686611,"[0.9425176096947105, 0.9103414852735763, 0.8609163350133173, 0.9225839344449377, 0.8753238984340914, 0.9261705547394281, 0.8376123963192661, 0.9698668189255965, 0.752173260105205, 0.8749578059045564, 0.9382947359245917, 0.9392953951991808, 0.8572722543066453, 0.8303750540736698, 0.9231353989214316]",0.11611271575437146,0.0265643142057025,"[0.1032218706298763, 0.1239031107440531, 0.10660785921436382, 0.09587978873351362, 0.1257210108167686, 0.1065257472581974, 0.13096874877666578, 0.06468947256875836, 0.1831761629793147, 0.1380766343789562, 0.11373160450659599, 0.09009918154875858, 0.13126916193221427, 0.13521007008814379, 0.09261031213939144]",0.11383140606670018,0.05068043865444786,"[0.06653846153846153, 0.05849673202614377, 0.18137254901960778, 0.1688235294117647, 0.09156862745098039, 0.10294871794871795, 0.1256862745098039, 0.1996732026143791, 0.08986928104575166, 0.05653594771241828, 0.0494871794871795, 0.1813725490196078, 0.05549019607843137, 0.15, 0.1296078431372549]",-0.3680266017087385,0.4147383454635766,"[-0.6038414690378772, -0.4972189433605895, -0.5951610235990673, -0.502010613986562, 0.10259036140871339, -0.4448155956719033, -0.42646525122094525, -0.7221235300193006, 0.9980473668173526, -0.49293194540345414, -0.4833391456875945, -0.6261432992409072, -0.15122231314339984, -0.4492408532294672, -0.6265227702560755]",0.06281900452488688,0.021466949845914355,"[0.03769230769230768, 0.04450980392156863, 0.08725490196078431, 0.07745098039215687, 0.0707843137254902, 0.053846153846153835, 0.06372549019607844, 0.10294117647058823, 0.030000000000000006, 0.05823529411764705, 0.05192307692307694, 0.08921568627450979, 0.027647058823529396, 0.07352941176470587, 0.07352941176470587]",0.8688993016878764,0.13506065097114944,"[0.5675559043884277, 0.9328572154045105, 0.8495046496391296, 0.9504075050354004, 1.1115355491638184, 0.8649000525474548, 0.8316066861152649, 0.7074801325798035, 1.0865312814712524, 0.885120689868927, 0.7242509126663208, 0.7975038886070251, 0.9502253532409668, 0.9341771006584167, 0.839832603931427]",0.29843647201798296,0.11302547234491868,"[0.41971356010499744, 0.326794723946172, 0.28672926985174263, 0.2441342178169781, 0.3417349204820086, 0.38754163318112955, 0.19583710407239818, 0.01787775293572545, 0.3403937629587681, 0.5107249545761442, 0.37025019752635846, 0.2768903573132165, 0.19291775211142345, 0.35278412643209667, 0.21222274696058593]",0.8905588937362346,0.04843750000000001,0.10315972222222221,0.030834273084537143,0.23177836055801657,-0.3685837783534554,0.8922017195330267,0.19166799704544246,1701.413,
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern32,(count:x)+(fp:x),0.9244755244755245,,,0.19178505441599825,0.04761551260484936,"[0.150834520087083, 0.243418350055602, 0.18812926307714778, 0.14447583530444172, 0.21986335481767513, 0.16779922651029316, 0.21104836726810158, 0.11459885202875086, 0.18639024077652852, 0.3149260275207998, 0.14499860217398514, 0.169925954968081, 0.18077477341260714, 0.21053566276161623, 0.22905678547726027]",0.8913800106622396,0.05639537574564773,"[0.9291855851810624, 0.8593980191322329, 0.8845356543394065, 0.9402592522847358, 0.8800378437299514, 0.9158943351406009, 0.8885594893400434, 0.9599621133068121, 0.9108875358067561, 0.7182150264397422, 0.9527635848505436, 0.9160912072242609, 0.8898408107157008, 0.8845085521472452, 0.8405611502945011]",0.10302069752409108,0.016225770869549745,"[0.0811311535943651, 0.13696609098247922, 0.09567665493789596, 0.0830838414250721, 0.11514010236620453, 0.09370214944704905, 0.10568495843655726, 0.08012562116929056, 0.11830710330412963, 0.1230185272579252, 0.08936299849042696, 0.0963046843151518, 0.1178968381644831, 0.10676172787094636, 0.10214801109938959]",0.16266985084632146,0.03852643580990416,"[0.15448717948717947, 0.08006535947712419, 0.21666666666666665, 0.20816993464052286, 0.1550980392156863, 0.17923076923076925, 0.18503267973856208, 0.17352941176470588, 0.11339869281045752, 0.18790849673202611, 0.1305128205128205, 0.20241830065359476, 0.1203267973856209, 0.19771241830065356, 0.13549019607843138]",-0.43235429897322536,0.32935013594993046,"[-0.5853361798951182, -0.13756527786109374, -0.727920804775789, -0.5957634495042977, -0.0908136556895651, -0.5456839274874449, -0.4372844049037573, -0.7646772698998592, 0.5169948413351583, -0.45156395724149806, -0.5866493891630202, -0.6874497222367567, -0.1293641420677128, -0.6044810964248529, -0.6577560487827732]",0.08332981397687281,0.017555368893008554,"[0.07884615384615387, 0.04568627450980392, 0.10490196078431373, 0.09901960784313726, 0.09274509803921568, 0.08269230769230769, 0.08921568627450979, 0.08529411764705883, 0.05745098039215686, 0.09313725490196077, 0.07115384615384616, 0.10490196078431373, 0.0703921568627451, 0.10686274509803921, 0.06764705882352941]",0.7808016260464986,0.05171868245304923,"[0.7531934380531311, 0.8555095195770264, 0.7663565874099731, 0.8222319483757019, 0.7969516515731812, 0.7636333107948303, 0.755273699760437, 0.7799544334411621, 0.8647861480712891, 0.7330158948898315, 0.7610629796981812, 0.7003939747810364, 0.772925078868866, 0.709475040435791, 0.877260684967041]",0.41451290872427415,0.10890258277650479,"[0.16716825685223455, 0.4227340607975271, 0.45400244401429984, 0.3135719809864763, 0.61179238942224, 0.319699432550435, 0.4029050432036438, 0.4707506538847604, 0.40725068586242424, 0.33070866277179356, 0.4408675668423867, 0.6106611165128054, 0.3872383778600635, 0.38677708548310336, 0.4915658738199199]",0.8926863996340395,0.07669270833333333,0.15934895833333332,0.08190834767478146,0.38764348809177407,-0.43290195994265995,0.783080225106827,0.1879448968344756,1099.854,
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroHMC,TanimotoMatern32,Matern52,sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
