metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.152678185231383,112,0,0
rmse,0,2.019335314126615,112,0,1
rmse,0,2.4160290224365966,112,0,2
rmse,0,2.0322559967857843,111,0,3
rmse,0,2.0732515353016043,111,0,4
rmse,0,1.8751150967721706,112,1,0
rmse,0,2.4009249182239825,112,1,1
rmse,0,2.059505794542326,112,1,2
rmse,0,2.207439900257534,111,1,3
rmse,0,2.220501401514277,111,1,4
rmse,0,2.1102169122892285,112,2,0
rmse,0,2.063999107718804,112,2,1
rmse,0,1.9214895170756277,112,2,2
rmse,0,2.397155798284214,111,2,3
rmse,0,2.0861094018148827,111,2,4
rmse,0,1.8999142919609207,112,3,0
rmse,0,2.328452614317597,112,3,1
rmse,0,2.2637878930668323,112,3,2
rmse,0,1.9632021304130807,111,3,3
rmse,0,2.1676914510566134,111,3,4
rmse,0,2.078592897322108,112,4,0
rmse,0,2.0989972047158494,112,4,1
rmse,0,2.119128862182349,112,4,2
rmse,0,2.32362862696156,111,4,3
rmse,0,1.9084260972476446,111,4,4
