metric,no_targets_columns,value,n_samples,seed,split
rmse,0,8.019840623730268,64,0,0
rmse,0,21.83726443155042,64,0,1
rmse,0,7.701940558947764,64,0,2
rmse,0,16.105462316152604,63,0,3
rmse,0,9.141442772484114,63,0,4
rmse,0,17.57379803818013,64,1,0
rmse,0,23.31396364322739,64,1,1
rmse,0,9.484841280041714,64,1,2
rmse,0,18.976005576723896,63,1,3
rmse,0,9.411813593154562,63,1,4
rmse,0,31.543810026782555,64,2,0
rmse,0,7.086739356684448,64,2,1
rmse,0,17.661759796861933,64,2,2
rmse,0,15.218194471534341,63,2,3
rmse,0,23.16725822569729,63,2,4
rmse,0,17.909890792383525,64,3,0
rmse,0,17.084529181453522,64,3,1
rmse,0,17.31930891003726,64,3,2
rmse,0,8.20991381495849,63,3,3
rmse,0,14.79231345959276,63,3,4
rmse,0,19.815435567862398,64,4,0
rmse,0,26.038364038252116,64,4,1
rmse,0,9.48112614167628,64,4,2
rmse,0,13.039976061858926,63,4,3
rmse,0,18.961490565208443,63,4,4
