metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5402140335458852,52,0,0
rmse,0,0.5124036309700799,51,0,1
rmse,0,0.5610765049001787,51,0,2
rmse,0,0.4403876112832826,51,0,3
rmse,0,0.6908977177885903,51,0,4
rmse,0,0.5398964798393504,52,1,0
rmse,0,0.5109618677585726,51,1,1
rmse,0,0.5173052858635446,51,1,2
rmse,0,0.5237278460681274,51,1,3
rmse,0,0.6318295236308394,51,1,4
rmse,0,0.5374595646368686,52,2,0
rmse,0,0.5252589826512449,51,2,1
rmse,0,0.5185137613848368,51,2,2
rmse,0,0.6260244734807766,51,2,3
rmse,0,0.5318482976988136,51,2,4
rmse,0,0.6420854927002695,52,3,0
rmse,0,0.6115457547145554,51,3,1
rmse,0,0.48590307042529773,51,3,2
rmse,0,0.5260490014186566,51,3,3
rmse,0,0.4845485207703966,51,3,4
rmse,0,0.5755405918633618,52,4,0
rmse,0,0.6142738114465602,51,4,1
rmse,0,0.5273785209007855,51,4,2
rmse,0,0.48586475838385534,51,4,3
rmse,0,0.5123981676031534,51,4,4
