metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.0729262839389837,112,0,0
rmse,0,1.9703104218806853,112,0,1
rmse,0,2.386738186783437,112,0,2
rmse,0,2.089473464439077,111,0,3
rmse,0,2.0864788153617777,111,0,4
rmse,0,1.8722778390724646,112,1,0
rmse,0,2.365327598270573,112,1,1
rmse,0,2.044847766827041,112,1,2
rmse,0,2.166533594927999,111,1,3
rmse,0,2.237926416323071,111,1,4
rmse,0,2.0732689702615046,112,2,0
rmse,0,2.0437800628542706,112,2,1
rmse,0,1.8797477305721724,112,2,2
rmse,0,2.328708913550349,111,2,3
rmse,0,2.0409280905088587,111,2,4
rmse,0,1.8184093356868558,112,3,0
rmse,0,2.332877389276633,112,3,1
rmse,0,2.2518033466270397,112,3,2
rmse,0,1.999879323875523,111,3,3
rmse,0,2.050902812986067,111,3,4
rmse,0,2.113633005825364,112,4,0
rmse,0,1.9826465135518856,112,4,1
rmse,0,2.110690755281874,112,4,2
rmse,0,2.280618602608244,111,4,3
rmse,0,1.8825729631370423,111,4,4
