metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.3595912464532328,52,0,0
rmse,0,0.38063918022501003,51,0,1
rmse,0,0.5502897240679985,51,0,2
rmse,0,0.618255379065319,51,0,3
rmse,0,0.5325912969891896,51,0,4
rmse,0,0.4882642534609674,52,1,0
rmse,0,0.5474614288201394,51,1,1
rmse,0,0.46577986007648936,51,1,2
rmse,0,0.33430989694896707,51,1,3
rmse,0,0.6508563074480861,51,1,4
rmse,0,0.6440617323993436,52,2,0
rmse,0,0.5484307775835631,51,2,1
rmse,0,0.4098572952688257,51,2,2
rmse,0,0.43411662687990477,51,2,3
rmse,0,0.3923361684613184,51,2,4
rmse,0,0.39089200968536425,52,3,0
rmse,0,0.3268977985170028,51,3,1
rmse,0,0.5773909656843242,51,3,2
rmse,0,0.4532428588553306,51,3,3
rmse,0,0.6508297683980487,51,3,4
rmse,0,0.5544716706208797,52,4,0
rmse,0,0.4826781563684229,51,4,1
rmse,0,0.6200361320146417,51,4,2
rmse,0,0.3321505767770047,51,4,3
rmse,0,0.5870242352249707,51,4,4
