metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.3748480826712237,112,0,0
rmse,0,2.4765068841501168,112,0,1
rmse,0,2.2310265486334497,112,0,2
rmse,0,2.046803819589997,111,0,3
rmse,0,2.2828500450934053,111,0,4
rmse,0,2.188465760032886,112,1,0
rmse,0,2.4047645492229766,112,1,1
rmse,0,2.2020451615795404,112,1,2
rmse,0,2.4160768005215,111,1,3
rmse,0,2.5753083226735938,111,1,4
rmse,0,2.2921756153176496,112,2,0
rmse,0,2.1569855105971545,112,2,1
rmse,0,2.2468547299684185,112,2,2
rmse,0,2.579402335139701,111,2,3
rmse,0,2.3498780355423063,111,2,4
rmse,0,2.145129034190683,112,3,0
rmse,0,2.3338662995294897,112,3,1
rmse,0,2.5068323422292385,112,3,2
rmse,0,2.3339716932066503,111,3,3
rmse,0,2.3269541576314188,111,3,4
rmse,0,2.174306241699153,112,4,0
rmse,0,2.49022622268415,112,4,1
rmse,0,2.294612521365117,112,4,2
rmse,0,2.6197853962959368,111,4,3
rmse,0,2.38231658886032,111,4,4
