metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.4299610994186431,52,0,0
rmse,0,0.4065885371462157,51,0,1
rmse,0,0.6561662940033776,51,0,2
rmse,0,0.6731900437710117,51,0,3
rmse,0,0.6238924265625674,51,0,4
rmse,0,0.514452537391132,52,1,0
rmse,0,0.5685256044789764,51,1,1
rmse,0,0.5683611957353308,51,1,2
rmse,0,0.4387373436730644,51,1,3
rmse,0,0.6990629122665454,51,1,4
rmse,0,0.6734248426305299,52,2,0
rmse,0,0.6817684914366849,51,2,1
rmse,0,0.513966773598447,51,2,2
rmse,0,0.5643011717494083,51,2,3
rmse,0,0.4169182257613045,51,2,4
rmse,0,0.45169920780114103,52,3,0
rmse,0,0.5026740122897216,51,3,1
rmse,0,0.5853828592390796,51,3,2
rmse,0,0.5414666808093501,51,3,3
rmse,0,0.8607773469280281,51,3,4
rmse,0,0.692099522593431,52,4,0
rmse,0,0.614501120362182,51,4,1
rmse,0,0.6550873398754254,51,4,2
rmse,0,0.3842554512380477,51,4,3
rmse,0,0.6167711863738017,51,4,4
