metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.548710817323732,52,0,0
rmse,0,0.5123123531484957,51,0,1
rmse,0,0.5565820190063473,51,0,2
rmse,0,0.4407773264579245,51,0,3
rmse,0,0.6855108983041284,51,0,4
rmse,0,0.5380109349762787,52,1,0
rmse,0,0.5085832552287065,51,1,1
rmse,0,0.5246030740805087,51,1,2
rmse,0,0.5146158899960236,51,1,3
rmse,0,0.6299975069731729,51,1,4
rmse,0,0.5399272181338934,52,2,0
rmse,0,0.5334664865853628,51,2,1
rmse,0,0.5212922353202929,51,2,2
rmse,0,0.6247596202479283,51,2,3
rmse,0,0.522256215207587,51,2,4
rmse,0,0.6355769318384759,52,3,0
rmse,0,0.6043293923567998,51,3,1
rmse,0,0.48756197082032204,51,3,2
rmse,0,0.5287758689576518,51,3,3
rmse,0,0.4935462284687543,51,3,4
rmse,0,0.5725260147543183,52,4,0
rmse,0,0.6169618626677984,51,4,1
rmse,0,0.5262621074760074,51,4,2
rmse,0,0.4852816294368425,51,4,3
rmse,0,0.5153175563661547,51,4,4
