metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.1213071834920747,112,0,0
rmse,0,2.084594490685553,112,0,1
rmse,0,2.600574775847093,112,0,2
rmse,0,2.0584565395597596,111,0,3
rmse,0,2.0851430546593943,111,0,4
rmse,0,1.9395143515053315,112,1,0
rmse,0,2.482805026462628,112,1,1
rmse,0,2.1187867503709588,112,1,2
rmse,0,2.349164764556624,111,1,3
rmse,0,2.4078101700124876,111,1,4
rmse,0,2.1037115767622674,112,2,0
rmse,0,2.1654539262055987,112,2,1
rmse,0,1.9875120970020663,112,2,2
rmse,0,2.353289265107597,111,2,3
rmse,0,2.2613358673866033,111,2,4
rmse,0,1.9985347369290025,112,3,0
rmse,0,2.4052647368400746,112,3,1
rmse,0,2.3789955840541976,112,3,2
rmse,0,1.9635794203470534,111,3,3
rmse,0,2.2827952474857955,111,3,4
rmse,0,2.0116745713668482,112,4,0
rmse,0,2.1049911470318876,112,4,1
rmse,0,2.156218154814473,112,4,2
rmse,0,2.6067212425096185,111,4,3
rmse,0,2.191967260762791,111,4,4
