metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.273585808315225,112,0,0
rmse,0,2.1087116694088133,112,0,1
rmse,0,2.2180019775300077,112,0,2
rmse,0,2.149524811087926,111,0,3
rmse,0,2.02868375709967,111,0,4
rmse,0,1.7979511168830253,112,1,0
rmse,0,2.4346281595568393,112,1,1
rmse,0,2.0377557157025943,112,1,2
rmse,0,2.463094117505625,111,1,3
rmse,0,2.175041180582468,111,1,4
rmse,0,2.245274794276172,112,2,0
rmse,0,2.2628503119688745,112,2,1
rmse,0,2.0373791293291665,112,2,2
rmse,0,2.4113067611213728,111,2,3
rmse,0,2.122188920781292,111,2,4
rmse,0,2.2614270955434366,112,3,0
rmse,0,2.2489370815054093,112,3,1
rmse,0,2.3305169612289087,112,3,2
rmse,0,1.9528777004036313,111,3,3
rmse,0,2.259666920291895,111,3,4
rmse,0,2.02975810531876,112,4,0
rmse,0,2.28746615595823,112,4,1
rmse,0,2.029669247284269,112,4,2
rmse,0,2.3448974086266405,111,4,3
rmse,0,2.140314222788441,111,4,4
