metric,no_targets_columns,value,n_samples,seed,split
rmse,0,12.715655651964054,64,0,0
rmse,0,13.092514998977292,64,0,1
rmse,0,10.910654699881366,64,0,2
rmse,0,13.447317449514768,63,0,3
rmse,0,11.20052034998203,63,0,4
rmse,0,11.733579777082825,64,1,0
rmse,0,13.113992476191546,64,1,1
rmse,0,12.707831356001112,64,1,2
rmse,0,13.98116996317533,63,1,3
rmse,0,12.590968539939183,63,1,4
rmse,0,14.078085570148254,64,2,0
rmse,0,15.008612020922348,64,2,1
rmse,0,9.38249128168918,64,2,2
rmse,0,11.507747691373897,63,2,3
rmse,0,15.114999748280582,63,2,4
rmse,0,12.54171386544623,64,3,0
rmse,0,12.454180147722393,64,3,1
rmse,0,13.804431555061665,64,3,2
rmse,0,10.39252037404372,63,3,3
rmse,0,11.899654109966715,63,3,4
rmse,0,13.80946624145494,64,4,0
rmse,0,11.200056943442041,64,4,1
rmse,0,13.357335582306083,64,4,2
rmse,0,10.827118504243334,63,4,3
rmse,0,13.466747401680294,63,4,4
