metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.80498391805227,64,0,0
rmse,0,13.977855795465521,64,0,1
rmse,0,9.533484844708845,64,0,2
rmse,0,11.111643588911537,63,0,3
rmse,0,10.742076420028221,63,0,4
rmse,0,10.525724549267473,64,1,0
rmse,0,12.525782991052129,64,1,1
rmse,0,13.75443698973639,64,1,2
rmse,0,16.615055895608975,63,1,3
rmse,0,10.840000901612925,63,1,4
rmse,0,19.750545961962022,64,2,0
rmse,0,11.60782115038091,64,2,1
rmse,0,9.961885187285795,64,2,2
rmse,0,10.305689848079227,63,2,3
rmse,0,18.637066116463732,63,2,4
rmse,0,12.494901424387159,64,3,0
rmse,0,15.180772832780333,64,3,1
rmse,0,11.478833012987598,64,3,2
rmse,0,11.328779418853383,63,3,3
rmse,0,13.157694105160584,63,3,4
rmse,0,13.198809805500861,64,4,0
rmse,0,16.87896181727358,64,4,1
rmse,0,10.423261807949022,64,4,2
rmse,0,9.119659947473957,63,4,3
rmse,0,12.127835482647306,63,4,4
