metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5496867983587491,52,0,0
rmse,0,0.5188899980885471,51,0,1
rmse,0,0.5541393198789321,51,0,2
rmse,0,0.443839956543335,51,0,3
rmse,0,0.6823021069291906,51,0,4
rmse,0,0.543414508745294,52,1,0
rmse,0,0.5176377776979865,51,1,1
rmse,0,0.5190277420905776,51,1,2
rmse,0,0.5162441677845805,51,1,3
rmse,0,0.6331648707996222,51,1,4
rmse,0,0.5426272596964866,52,2,0
rmse,0,0.5285116629756162,51,2,1
rmse,0,0.5249931472620215,51,2,2
rmse,0,0.627753532006997,51,2,3
rmse,0,0.5242933269729758,51,2,4
rmse,0,0.6409857623132083,52,3,0
rmse,0,0.6087633999861707,51,3,1
rmse,0,0.49024248707004114,51,3,2
rmse,0,0.5269780416154488,51,3,3
rmse,0,0.4887191867612786,51,3,4
rmse,0,0.5808268643415299,52,4,0
rmse,0,0.610262395349823,51,4,1
rmse,0,0.5271070059175195,51,4,2
rmse,0,0.49047683644397455,51,4,3
rmse,0,0.5209395823650018,51,4,4
