metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.764579330267187,64,0,0
rmse,0,11.106210823899147,64,0,1
rmse,0,10.256128164625457,64,0,2
rmse,0,12.353912894436693,63,0,3
rmse,0,9.920577258084021,63,0,4
rmse,0,11.60746228792478,64,1,0
rmse,0,17.87460774033668,64,1,1
rmse,0,10.180545437600536,64,1,2
rmse,0,14.601833875179366,63,1,3
rmse,0,9.585970492754228,63,1,4
rmse,0,17.4381128109354,64,2,0
rmse,0,10.906528498579778,64,2,1
rmse,0,13.753166455243647,64,2,2
rmse,0,11.180098277089895,63,2,3
rmse,0,13.265027785932627,63,2,4
rmse,0,11.842789949617828,64,3,0
rmse,0,8.492485973910044,64,3,1
rmse,0,11.627729773167802,64,3,2
rmse,0,11.34808969337616,63,3,3
rmse,0,9.81557806387699,63,3,4
rmse,0,10.436195994063292,64,4,0
rmse,0,14.480721384110597,64,4,1
rmse,0,13.022601306185589,64,4,2
rmse,0,11.024510621288897,63,4,3
rmse,0,13.466300932626913,63,4,4
