metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5402380467991782,52,0,0
rmse,0,0.5108769490177771,51,0,1
rmse,0,0.5505852020298663,51,0,2
rmse,0,0.43956315900797555,51,0,3
rmse,0,0.6893378134267648,51,0,4
rmse,0,0.5399986234143772,52,1,0
rmse,0,0.5046355366018329,51,1,1
rmse,0,0.5141669472120146,51,1,2
rmse,0,0.5134147657583336,51,1,3
rmse,0,0.6297452358053741,51,1,4
rmse,0,0.5372085438940019,52,2,0
rmse,0,0.522646842132741,51,2,1
rmse,0,0.5171367364794937,51,2,2
rmse,0,0.6251844172385403,51,2,3
rmse,0,0.520833895536659,51,2,4
rmse,0,0.632718701574592,52,3,0
rmse,0,0.6076364312499226,51,3,1
rmse,0,0.48512925774399634,51,3,2
rmse,0,0.5258540945272909,51,3,3
rmse,0,0.48031595827883294,51,3,4
rmse,0,0.5659225957431459,52,4,0
rmse,0,0.6131704850083953,51,4,1
rmse,0,0.52393622903667,51,4,2
rmse,0,0.4838634862394857,51,4,3
rmse,0,0.5114577617239461,51,4,4
