metric,no_targets_columns,value,n_samples,seed,split
rmse,0,78.25207055619535,64,0,0
rmse,0,90.94216288342953,64,0,1
rmse,0,100.28136835063195,64,0,2
rmse,0,94.95307953746399,63,0,3
rmse,0,80.9666660310816,63,0,4
rmse,0,94.872640453857,64,1,0
rmse,0,102.19768890564934,64,1,1
rmse,0,87.00289053110222,64,1,2
rmse,0,78.84193374097475,63,1,3
rmse,0,89.58756894211014,63,1,4
rmse,0,62.47462496411144,64,2,0
rmse,0,76.93196517814337,64,2,1
rmse,0,119.54256821456136,64,2,2
rmse,0,107.9110244499913,63,2,3
rmse,0,90.4549310291852,63,2,4
rmse,0,95.71132020409439,64,3,0
rmse,0,95.15956735034736,64,3,1
rmse,0,87.78494702927706,64,3,2
rmse,0,62.34008155220145,63,3,3
rmse,0,100.53364033256176,63,3,4
rmse,0,87.47901329187158,64,4,0
rmse,0,123.11632627322977,64,4,1
rmse,0,79.68943408408153,64,4,2
rmse,0,98.79864747113173,63,4,3
rmse,0,105.85796658895673,63,4,4
