metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5329026268346883,52,0,0
rmse,0,0.49626148887312066,51,0,1
rmse,0,0.5673280665772052,51,0,2
rmse,0,0.42589061687450563,51,0,3
rmse,0,0.6793318356609002,51,0,4
rmse,0,0.5146584681704169,52,1,0
rmse,0,0.5174950599080476,51,1,1
rmse,0,0.50395371805408,51,1,2
rmse,0,0.5375754801287803,51,1,3
rmse,0,0.6173854317675509,51,1,4
rmse,0,0.5257540043771288,52,2,0
rmse,0,0.518926272451753,51,2,1
rmse,0,0.5040363753873028,51,2,2
rmse,0,0.6166479963391351,51,2,3
rmse,0,0.5398803228100119,51,2,4
rmse,0,0.6493806169351553,52,3,0
rmse,0,0.6005454337413226,51,3,1
rmse,0,0.4702527354562324,51,3,2
rmse,0,0.5077290394703634,51,3,3
rmse,0,0.48937497562669285,51,3,4
rmse,0,0.574592393656917,52,4,0
rmse,0,0.6129915413959015,51,4,1
rmse,0,0.5092695324345283,51,4,2
rmse,0,0.4603466481351533,51,4,3
rmse,0,0.5152304608170349,51,4,4
