metric,no_targets_columns,value,n_samples,seed,split
rmse,0,13.409701355515475,64,0,0
rmse,0,11.172188342326965,64,0,1
rmse,0,9.067136026566397,64,0,2
rmse,0,9.519773939697101,63,0,3
rmse,0,10.740716529676241,63,0,4
rmse,0,10.124504889334608,64,1,0
rmse,0,11.852566789921818,64,1,1
rmse,0,10.534206482531424,64,1,2
rmse,0,14.177250447994231,63,1,3
rmse,0,8.232603672341275,63,1,4
rmse,0,9.425915482094078,64,2,0
rmse,0,12.207354837203743,64,2,1
rmse,0,13.918905639852067,64,2,2
rmse,0,10.902732423383908,63,2,3
rmse,0,10.551892891364309,63,2,4
rmse,0,9.42035580190293,64,3,0
rmse,0,9.600604670893835,64,3,1
rmse,0,10.362523906139495,64,3,2
rmse,0,15.305475722786174,63,3,3
rmse,0,10.679034076120923,63,3,4
rmse,0,10.514703814280134,64,4,0
rmse,0,14.120781168313476,64,4,1
rmse,0,11.399653134105183,64,4,2
rmse,0,10.35653268084401,63,4,3
rmse,0,10.416141995560452,63,4,4
