metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.1439972470683824,112,0,0
rmse,0,2.1761448676439983,112,0,1
rmse,0,2.417528236498112,112,0,2
rmse,0,2.099382497014349,111,0,3
rmse,0,2.202957170666956,111,0,4
rmse,0,1.9238410478585692,112,1,0
rmse,0,2.4671606793720184,112,1,1
rmse,0,2.1062647828798564,112,1,2
rmse,0,2.2445749066277214,111,1,3
rmse,0,2.2822848738638206,111,1,4
rmse,0,2.1866383755848346,112,2,0
rmse,0,2.119735990048597,112,2,1
rmse,0,1.9983258074603774,112,2,2
rmse,0,2.480725106796265,111,2,3
rmse,0,2.172891549391259,111,2,4
rmse,0,1.9982093014434037,112,3,0
rmse,0,2.465116533331163,112,3,1
rmse,0,2.315111418682638,112,3,2
rmse,0,2.0281796621387533,111,3,3
rmse,0,2.211302621175637,111,3,4
rmse,0,2.130757309295233,112,4,0
rmse,0,2.124698945638036,112,4,1
rmse,0,2.2683052741960297,112,4,2
rmse,0,2.457139899296091,111,4,3
rmse,0,1.986549844990426,111,4,4
