metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.1434955610997024,112,0,0
rmse,0,2.2352905326657924,112,0,1
rmse,0,2.4670947451656473,112,0,2
rmse,0,2.1530695045525428,111,0,3
rmse,0,2.247231067066433,111,0,4
rmse,0,1.985485635171923,112,1,0
rmse,0,2.4980336515866144,112,1,1
rmse,0,2.099638396464907,112,1,2
rmse,0,2.2941699642286304,111,1,3
rmse,0,2.3411305766910293,111,1,4
rmse,0,2.22674793826817,112,2,0
rmse,0,2.1479428276516437,112,2,1
rmse,0,1.9920803030788856,112,2,2
rmse,0,2.5082879852855484,111,2,3
rmse,0,2.2228667679920213,111,2,4
rmse,0,2.02965660661342,112,3,0
rmse,0,2.498009413527616,112,3,1
rmse,0,2.340759883344324,112,3,2
rmse,0,2.0660294281436613,111,3,3
rmse,0,2.265323529487317,111,3,4
rmse,0,2.177405420210994,112,4,0
rmse,0,2.1621309112495393,112,4,1
rmse,0,2.2997209736243405,112,4,2
rmse,0,2.5218774232115315,111,4,3
rmse,0,2.001960802282008,111,4,4
