metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.115569857279274,112,0,0
rmse,0,1.7448536495215985,112,0,1
rmse,0,2.5202009445554774,112,0,2
rmse,0,1.8570979938690262,111,0,3
rmse,0,2.032853491342266,111,0,4
rmse,0,1.846061476018603,112,1,0
rmse,0,2.290495730692762,112,1,1
rmse,0,2.020333779057255,112,1,2
rmse,0,2.2037206068718946,111,1,3
rmse,0,2.1103526736331704,111,1,4
rmse,0,1.9375435036665647,112,2,0
rmse,0,1.9532248039021192,112,2,1
rmse,0,1.913349529653656,112,2,2
rmse,0,2.1869336511444537,111,2,3
rmse,0,2.054442060595923,111,2,4
rmse,0,1.8348313350557182,112,3,0
rmse,0,2.2165752726377654,112,3,1
rmse,0,2.214367898384597,112,3,2
rmse,0,1.9026375878711996,111,3,3
rmse,0,2.056610214521018,111,3,4
rmse,0,2.039542652163568,112,4,0
rmse,0,1.861852279819326,112,4,1
rmse,0,2.1071624134331572,112,4,2
rmse,0,2.438746881179838,111,4,3
rmse,0,1.9208026865806576,111,4,4
