metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.248396350415271,112,0,0
rmse,0,2.1485694517627913,112,0,1
rmse,0,2.4397348398784175,112,0,2
rmse,0,2.416243174319805,111,0,3
rmse,0,2.1783074586463065,111,0,4
rmse,0,1.968432685740068,112,1,0
rmse,0,2.5185778050498606,112,1,1
rmse,0,2.263039149519673,112,1,2
rmse,0,2.782588248841999,111,1,3
rmse,0,2.1978038998457343,111,1,4
rmse,0,2.3881702600097294,112,2,0
rmse,0,2.179447434191479,112,2,1
rmse,0,1.9825531162971715,112,2,2
rmse,0,2.624135256668198,111,2,3
rmse,0,2.4010499207660114,111,2,4
rmse,0,2.436259712043825,112,3,0
rmse,0,2.4688891246311275,112,3,1
rmse,0,2.2838682069531147,112,3,2
rmse,0,2.003692039676975,111,3,3
rmse,0,2.3081675490116744,111,3,4
rmse,0,2.015091303104882,112,4,0
rmse,0,2.536077326446521,112,4,1
rmse,0,2.2074091699358864,112,4,2
rmse,0,2.517954767530421,111,4,3
rmse,0,2.3032394551511697,111,4,4
