metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.44330322058991156,52,0,0
rmse,0,0.406061697612496,51,0,1
rmse,0,0.5039347089882431,51,0,2
rmse,0,0.3790101456121088,51,0,3
rmse,0,0.6003424888375817,51,0,4
rmse,0,0.40915363513590747,52,1,0
rmse,0,0.43214759540306136,51,1,1
rmse,0,0.42458864456990536,51,1,2
rmse,0,0.48303643876650415,51,1,3
rmse,0,0.5670992301134263,51,1,4
rmse,0,0.45839853989674206,52,2,0
rmse,0,0.41589642763877516,51,2,1
rmse,0,0.4186865570531122,51,2,2
rmse,0,0.5481671219663629,51,2,3
rmse,0,0.49253862763875156,51,2,4
rmse,0,0.60894346609315,52,3,0
rmse,0,0.5104640229508375,51,3,1
rmse,0,0.42272903259950106,51,3,2
rmse,0,0.4079714374718824,51,3,3
rmse,0,0.4100371581413425,51,3,4
rmse,0,0.5766915236530082,52,4,0
rmse,0,0.5157616948846631,51,4,1
rmse,0,0.4225662381313126,51,4,2
rmse,0,0.3641910969017861,51,4,3
rmse,0,0.4296647378308363,51,4,4
