metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.0440265388898538,112,0,0
rmse,0,1.8835622691057117,112,0,1
rmse,0,2.388891466133913,112,0,2
rmse,0,1.9730598858511565,111,0,3
rmse,0,2.0492456681086035,111,0,4
rmse,0,1.85351245435482,112,1,0
rmse,0,2.3525209616824325,112,1,1
rmse,0,2.1786484499786636,112,1,2
rmse,0,2.125501571917498,111,1,3
rmse,0,2.132001579883211,111,1,4
rmse,0,1.9763538313982754,112,2,0
rmse,0,1.9900068719192285,112,2,1
rmse,0,1.812226716089149,112,2,2
rmse,0,2.317893401094758,111,2,3
rmse,0,1.9787063950878963,111,2,4
rmse,0,1.775499145346396,112,3,0
rmse,0,2.214238302963543,112,3,1
rmse,0,2.232876607085778,112,3,2
rmse,0,1.9220189798398664,111,3,3
rmse,0,1.964396672707034,111,3,4
rmse,0,2.0081897197790006,112,4,0
rmse,0,1.97733468548386,112,4,1
rmse,0,2.039013579566015,112,4,2
rmse,0,2.2298543714593246,111,4,3
rmse,0,1.8286528989251605,111,4,4
