metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5337405572135406,52,0,0
rmse,0,0.49565512402449574,51,0,1
rmse,0,0.5592988881092857,51,0,2
rmse,0,0.4273900595037324,51,0,3
rmse,0,0.6681578973679267,51,0,4
rmse,0,0.5136763268539497,52,1,0
rmse,0,0.49712848098060547,51,1,1
rmse,0,0.5006735143495474,51,1,2
rmse,0,0.5332607273505693,51,1,3
rmse,0,0.6200289128104177,51,1,4
rmse,0,0.5246958915081491,52,2,0
rmse,0,0.5064079729168663,51,2,1
rmse,0,0.5046685744919144,51,2,2
rmse,0,0.6110060503587619,51,2,3
rmse,0,0.5482430169718974,51,2,4
rmse,0,0.6567759296456195,52,3,0
rmse,0,0.5856224562552858,51,3,1
rmse,0,0.46538655244612515,51,3,2
rmse,0,0.5066228191091893,51,3,3
rmse,0,0.48004294797851527,51,3,4
rmse,0,0.5941593375272348,52,4,0
rmse,0,0.5955105706298822,51,4,1
rmse,0,0.5077027322657327,51,4,2
rmse,0,0.45970205663330244,51,4,3
rmse,0,0.5065922234490919,51,4,4
