metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.108628882406687,112,0,0
rmse,0,2.0308967347345845,112,0,1
rmse,0,2.4361667851866176,112,0,2
rmse,0,2.0607899775393355,111,0,3
rmse,0,2.091855135320063,111,0,4
rmse,0,1.9242366277960723,112,1,0
rmse,0,2.3996135904367435,112,1,1
rmse,0,2.085529777568239,112,1,2
rmse,0,2.186618430335487,111,1,3
rmse,0,2.2479548981131705,111,1,4
rmse,0,2.1067182225880363,112,2,0
rmse,0,2.068079811794502,112,2,1
rmse,0,1.918065257467552,112,2,2
rmse,0,2.381725911134038,111,2,3
rmse,0,2.1000133353566897,111,2,4
rmse,0,1.8808713047060617,112,3,0
rmse,0,2.3680073167123505,112,3,1
rmse,0,2.2829179393795007,112,3,2
rmse,0,1.9803439821079505,111,3,3
rmse,0,2.1354469752282608,111,3,4
rmse,0,2.0954272792919943,112,4,0
rmse,0,2.034315234210153,112,4,1
rmse,0,2.1458368746317737,112,4,2
rmse,0,2.357521985128593,111,4,3
rmse,0,1.9109363576021383,111,4,4
