metric,no_targets_columns,value,n_samples,seed,split
rmse,0,11.722868032476585,64,0,0
rmse,0,17.55990341576991,64,0,1
rmse,0,10.398814940755289,64,0,2
rmse,0,16.87884763143773,63,0,3
rmse,0,10.572319326816082,63,0,4
rmse,0,16.987994801277782,64,1,0
rmse,0,22.070088769501773,64,1,1
rmse,0,13.140986206476693,64,1,2
rmse,0,19.940219827163578,63,1,3
rmse,0,11.11308614463632,63,1,4
rmse,0,29.053373939578382,64,2,0
rmse,0,13.044710182655352,64,2,1
rmse,0,17.61345502396991,64,2,2
rmse,0,15.019376137541224,63,2,3
rmse,0,20.85869610675421,63,2,4
rmse,0,15.93131538745054,64,3,0
rmse,0,19.07395797556208,64,3,1
rmse,0,14.228044488495206,64,3,2
rmse,0,10.348433947331758,63,3,3
rmse,0,13.59511233964165,63,3,4
rmse,0,17.28437735418473,64,4,0
rmse,0,25.329323465799895,64,4,1
rmse,0,12.223041133861859,64,4,2
rmse,0,15.023936147658965,63,4,3
rmse,0,18.687683634473878,63,4,4
